2019-05-09,
2019-05-10,
2019-05-11,
2019-05-12,
2019-05-13,
2019-05-14,
2019-05-15,
2019-05-16,
2019-05-17,
2019-05-18,
2019-05-19,
2019-05-20,
2019-05-21,
2019-05-22,
2019-05-23,
2019-05-24,
2019-05-25,
2019-05-26,
2019-05-27,
2019-05-28,
2019-05-29,
2019-05-30,
2019-05-31,
2019-06-01,
2019-06-02,
2019-06-03,
2019-06-04,
2019-06-05,
2019-06-06,
2019-06-07,
2019-06-08,
2019-06-09,
2019-06-10,
2019-06-11,
2019-06-12,
2019-06-13,
2019-06-14,
2019-06-15,
2019-06-16,
2019-06-17,
2019-06-18,
2019-06-19,
2019-06-20,
2019-06-21,
2019-06-22,
2019-06-23,
2019-06-24,
2019-06-25,
2019-06-26,
2019-06-27,
2019-06-28,
2019-06-29,
2019-06-30,
2019-07-01,
2019-07-02,
2019-07-03,
2019-07-04,
2019-07-05,
2019-07-06,
2019-07-07,
2019-07-08,
2019-07-09,
2019-07-10,
2019-07-11,
2019-07-12,
2019-07-13,
2019-07-14,
2019-07-15,
2019-07-16,
2019-07-17,
2019-07-18,
2019-07-19,
2019-07-20,
2019-07-21,
2019-07-22,
2019-07-23,
2019-07-24,
2019-07-25,
2019-07-26,
2019-07-27,
2019-07-28,
2019-07-29,
2019-07-30,
2019-07-31,
2019-08-01,
2019-08-02,
2019-08-03,
2019-08-04,
2019-08-05,
2019-08-06,
2019-08-07,
2019-08-08,
2019-08-09,
2019-08-10,
2019-08-11,
2019-08-12,
2019-08-13,
2019-08-14,
2019-08-15,
2019-08-16,
2019-08-17,
2019-08-18,
2019-08-19,
2019-08-20,
2019-08-21,
2019-08-22,
2019-08-23,
2019-08-24,
2019-08-25,
2019-08-26,
2019-08-27,
2019-08-28,
2019-08-29,
2019-08-30,
2019-08-31,
2019-09-01,
2019-09-02,
2019-09-03,
2019-09-04,
2019-09-05,
2019-09-06,
2019-09-07,
2019-09-08,
2019-09-09,
2019-09-10,
2019-09-11,
2019-09-12,
2019-09-13,
2019-09-14,
2019-09-15,
2019-09-16,
2019-09-17,
2019-09-18,
2019-09-19,
2019-09-20,
2019-09-21,
2019-09-22,
2019-09-23,
2019-09-24,
2019-09-25,
2019-09-26,
2019-09-27,
2019-09-28,
2019-09-29,
2019-09-30,
2019-10-01,
2019-10-02,
2019-10-03,
2019-10-04,
2019-10-05,
2019-10-06,
2019-10-07,
2019-10-08,
2019-10-09,
2019-10-10,
2019-10-11,
2019-10-12,
2019-10-13,
2019-10-14,
2019-10-15,
2019-10-16,
2019-10-17,
2019-10-18,
2019-10-19,
2019-10-20,
2019-10-21,
2019-10-22,
2019-10-23,
2019-10-24,
2019-10-25,
2019-10-26,
2019-10-27,
2019-10-28,
2019-10-29,
2019-10-30,
2019-10-31,
2019-11-01,
2019-11-02,
2019-11-03,
2019-11-04,
2019-11-05,
2019-11-06,
2019-11-07,
2019-11-08,
2019-11-09,
2019-11-10,
2019-11-11,
2019-11-12,
2019-11-13,
2019-11-14,
2019-11-15,
2019-11-16,
2019-11-17,
2019-11-18,
2019-11-19,
2019-11-20,
2019-11-21,
2019-11-22,
2019-11-23,
2019-11-24,
2019-11-25,
2019-11-26,
2019-11-27,
2019-11-28,
2019-11-29,
2019-11-30,
2019-12-01,
2019-12-02,
2019-12-03,
2019-12-04,
2019-12-05,
2019-12-06,
2019-12-07,
2019-12-08,
2019-12-09,
2019-12-10,
2019-12-11,
2019-12-12,
2019-12-13,
2019-12-14,
2019-12-15,
2019-12-16,
2019-12-17,
2019-12-18,
2019-12-19,
2019-12-20,
2019-12-21,
2019-12-22,
2019-12-23,
2019-12-24,
2019-12-25,
2019-12-26,
2019-12-27,
2019-12-28,
2019-12-29,
2019-12-30,
2019-12-31,
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-08,
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-21,
2020-03-22,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-28,
2020-03-29,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-04,
2020-04-05,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-22,
2020-08-23,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-29,
2020-08-30,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,
2020-09-09,
2020-09-10,
2020-09-11,
2020-09-12,
2020-09-13,
2020-09-14,
2020-09-15,
2020-09-16,
2020-09-17,
2020-09-18,
2020-09-19,
2020-09-20,
2020-09-21,
2020-09-22,
2020-09-23,
2020-09-24,
2020-09-25,
2020-09-26,
2020-09-27,
2020-09-28,
2020-09-29,
2020-09-30,
2020-10-01,
2020-10-02,
2020-10-03,
2020-10-04,
2020-10-05,
2020-10-06,
2020-10-07,
2020-10-08,
2020-10-09,
2020-10-10,
2020-10-11,
2020-10-12,
2020-10-13,
2020-10-14,
2020-10-15,
2020-10-16,
2020-10-17,
2020-10-18,
2020-10-19,
2020-10-20,
2020-10-21,
2020-10-22,
2020-10-23,
2020-10-24,
2020-10-25,
2020-10-26,
2020-10-27,
2020-10-28,
2020-10-29,
2020-10-30,
2020-10-31,
2020-11-01,
2020-11-02,
2020-11-03,
2020-11-04,
2020-11-05,
2020-11-06,
2020-11-07,
2020-11-08,
2020-11-09,
2020-11-10,
2020-11-11,
2020-11-12,
2020-11-13,
2020-11-14,
2020-11-15,
2020-11-16,
2020-11-17,
2020-11-18,
2020-11-19,
2020-11-20,
2020-11-21,
2020-11-22,
2020-11-23,
2020-11-24,
2020-11-25,
2020-11-26,
2020-11-27,
2020-11-28,
2020-11-29,
2020-11-30,
2020-12-01,
2020-12-02,
2020-12-03,
2020-12-04,
2020-12-05,
2020-12-06,
2020-12-07,
2020-12-08,
2020-12-09,
2020-12-10,
2020-12-11,
2020-12-12,
2020-12-13,
2020-12-14,
2020-12-15,
2020-12-16,
2020-12-17,
2020-12-18,
2020-12-19,
2020-12-20,
2020-12-21,
2020-12-22,
2020-12-23,
2020-12-24,
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,
2020-12-29,
2020-12-30,
2020-12-31,
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,
2021-01-05,
2021-01-06,
2021-01-07,
2021-01-08,
2021-01-09,
2021-01-10,
2021-01-11,
2021-01-12,
2021-01-13,
2021-01-14,
2021-01-15,
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,
2021-01-20,
2021-01-21,
2021-01-22,
2021-01-23,
2021-01-24,
2021-01-25,
2021-01-26,
2021-01-27,
2021-01-28,
2021-01-29,
2021-01-30,
2021-01-31,
2021-02-01,
2021-02-02,
2021-02-03,
2021-02-04,
2021-02-05,
2021-02-06,
2021-02-07,
2021-02-08,
2021-02-09,
2021-02-10,
2021-02-11,
2021-02-12,
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,
2021-02-17,
2021-02-18,
2021-02-19,
2021-02-20,
2021-02-21,
2021-02-22,
2021-02-23,
2021-02-24,
2021-02-25,
2021-02-26,
2021-02-27,
2021-02-28,
2021-03-01,
2021-03-02,
2021-03-03,
2021-03-04,
2021-03-05,
2021-03-06,
2021-03-07,
2021-03-08,
2021-03-09,
2021-03-10,
2021-03-11,
2021-03-12,
2021-03-13,
2021-03-14,
2021-03-15,
2021-03-16,
2021-03-17,
2021-03-18,
2021-03-19,
2021-03-20,
2021-03-21,
2021-03-22,
2021-03-23,
2021-03-24,
2021-03-25,
2021-03-26,
2021-03-27,
2021-03-28,
2021-03-29,
2021-03-30,
2021-03-31,
2021-04-01,
2021-04-02,
2021-04-03,
2021-04-04,
2021-04-05,
2021-04-06,
2021-04-07,
2021-04-08,
2021-04-09,
2021-04-10,
2021-04-11,
2021-04-12,
2021-04-13,
2021-04-14,
2021-04-15,
2021-04-16,
2021-04-17,
2021-04-18,
2021-04-19,
2021-04-20,
2021-04-21,
2021-04-22,
2021-04-23,
2021-04-24,
2021-04-25,
2021-04-26,
2021-04-27,
2021-04-28,
2021-04-29,
2021-04-30,
2021-05-01,
2021-05-02,
2021-05-03,
2021-05-04,
2021-05-05,
2021-05-06,
2021-05-07,
2021-05-08,
2021-05-09,
2021-05-10,
2021-05-11,
2021-05-12,
2021-05-13,
2021-05-14,
2021-05-15,
2021-05-16,
2021-05-17,
2021-05-18,
2021-05-19,
2021-05-20,
2021-05-21,
2021-05-22,
2021-05-23,
2021-05-24,
2021-05-25,
2021-05-26,
2021-05-27,
2021-05-28,
2021-05-29,
2021-05-30,
2021-05-31,
2021-06-01,
2021-06-02,
2021-06-03,
2021-06-04,
2021-06-05,
2021-06-06,
2021-06-07,
2021-06-08,
2021-06-09,
2021-06-10,
2021-06-11,
2021-06-12,
2021-06-13,
2021-06-14,
2021-06-15,
2021-06-16,
2021-06-17,
2021-06-18,
2021-06-19,
2021-06-20,
2021-06-21,
2021-06-22,
2021-06-23,
2021-06-24,
2021-06-25,
2021-06-26,
2021-06-27,
2021-06-28,
2021-06-29,
2021-06-30,
2021-07-01,
2021-07-02,
2021-07-03,
2021-07-04,
2021-07-05,
2021-07-06,
2021-07-07,
2021-07-08,
2021-07-09,
2021-07-10,
2021-07-11,
2021-07-12,
2021-07-13,
2021-07-14,
2021-07-15,
2021-07-16,
2021-07-17,
2021-07-18,
2021-07-19,
2021-07-20,
2021-07-21,
2021-07-22,
2021-07-23,
2021-07-24,
2021-07-25,
2021-07-26,
2021-07-27,
2021-07-28,
2021-07-29,
2021-07-30,
2021-07-31,
2021-08-01,
2021-08-02,
2021-08-03,
2021-08-04,
2021-08-05,
2021-08-06,
2021-08-07,
2021-08-08,
2021-08-09,
2021-08-10,
2021-08-11,
2021-08-12,
2021-08-13,
2021-08-14,
2021-08-15,
2021-08-16,
2021-08-17,
2021-08-18,
2021-08-19,
2021-08-20,
2021-08-21,
2021-08-22,
2021-08-23,
2021-08-24,
2021-08-25,
2021-08-26,
2021-08-27,
2021-08-28,
2021-08-29,
2021-08-30,
2021-08-31,
2021-09-01,
2021-09-02,
2021-09-03,
2021-09-04,
2021-09-05,
2021-09-06,
2021-09-07,
2021-09-08,
2021-09-09,
2021-09-10,
2021-09-11,
2021-09-12,
2021-09-13,
2021-09-14,
2021-09-15,
2021-09-16,
2021-09-17,
2021-09-18,
2021-09-19,
2021-09-20,
2021-09-21,
2021-09-22,
2021-09-23,
2021-09-24,
2021-09-25,
2021-09-26,
2021-09-27,
2021-09-28,
2021-09-29,
2021-09-30,
2021-10-01,
2021-10-02,
2021-10-03,
2021-10-04,
2021-10-05,
2021-10-06,
2021-10-07,
2021-10-08,
2021-10-09,
2021-10-10,
2021-10-11,
2021-10-12,
2021-10-13,
2021-10-14,
2021-10-15,
2021-10-16,
2021-10-17,
2021-10-18,
2021-10-19,
2021-10-20,
2021-10-21,
2021-10-22,
2021-10-23,
2021-10-24,
2021-10-25,
2021-10-26,
2021-10-27,
2021-10-28,
2021-10-29,
2021-10-30,
2021-10-31,
2021-11-01,
2021-11-02,
2021-11-03,
2021-11-04,
2021-11-05,
2021-11-06,
2021-11-07,
2021-11-08,
2021-11-09,
2021-11-10,
2021-11-11,
2021-11-12,
2021-11-13,
2021-11-14,
2021-11-15,
2021-11-16,
2021-11-17,
2021-11-18,
2021-11-19,
2021-11-20,
2021-11-21,
2021-11-22,
2021-11-23,
2021-11-24,
2021-11-25,
2021-11-26,
2021-11-27,
2021-11-28,
2021-11-29,
2021-11-30,
2021-12-01,
2021-12-02,
2021-12-03,
2021-12-04,
2021-12-05,
2021-12-06,
2021-12-07,
2021-12-08,
2021-12-09,
2021-12-10,
2021-12-11,
2021-12-12,
2021-12-13,
2021-12-14,
2021-12-15,
2021-12-16,
2021-12-17,
2021-12-18,
2021-12-19,
2021-12-20,
2021-12-21,
2021-12-22,
2021-12-23,
2021-12-24,
2021-12-25,
2021-12-26,
2021-12-27,
2021-12-28,
2021-12-29,
2021-12-30,
2021-12-31,
2022-01-01,
2022-01-02,
2022-01-03,
2022-01-04,
2022-01-05,
2022-01-06,
2022-01-07,
2022-01-08,
2022-01-09,
2022-01-10,
2022-01-11,
2022-01-12,
2022-01-13,
2022-01-14,
2022-01-15,
2022-01-16,
2022-01-17,
2022-01-18,
2022-01-19,
2022-01-20,
2022-01-21,
2022-01-22,
2022-01-23,
2022-01-24,
2022-01-25,40.8
2022-01-26,40.8
2022-01-27,40.8
2022-01-28,40.8
2022-01-29,40.8
2022-01-30,40.8
2022-01-31,40.8
2022-02-01,40.8
2022-02-02,40.8
2022-02-03,40.8
2022-02-04,40.8
2022-02-05,40.8
2022-02-06,40.8
2022-02-07,40.8
2022-02-08,40.85
2022-02-09,40.85
2022-02-10,40.85
2022-02-11,40.85
2022-02-12,40.85
2022-02-13,40.85
2022-02-14,40.85
2022-02-15,40.85
2022-02-16,40.85
2022-02-17,40.85
2022-02-18,40.85
2022-02-19,40.85
2022-02-20,40.85
2022-02-21,40.85
2022-02-22,40.85
2022-02-23,40.85
2022-02-24,40.85
2022-02-25,40.85
2022-02-26,40.85
2022-02-27,40.85
2022-02-28,40.85
2022-03-01,40.85
2022-03-02,40.85
2022-03-03,40.85
2022-03-04,40.85
2022-03-05,40.85
2022-03-06,40.85
2022-03-07,40.85
2022-03-08,40.85
2022-03-09,40.85
2022-03-10,40.85
2022-03-11,40.85
2022-03-12,40.85
2022-03-13,40.85
2022-03-14,40.85
2022-03-15,40.85
2022-03-16,40.85
2022-03-17,40.85
2022-03-18,40.85
2022-03-19,40.85
2022-03-20,40.85
2022-03-21,40.85
2022-03-22,40.85
2022-03-23,40.85
2022-03-24,40.85
2022-03-25,40.85
2022-03-26,40.85
2022-03-27,40.85
2022-03-28,40.85
2022-03-29,40.85
2022-03-30,40.85
2022-03-31,40.85
2022-04-01,40.85
2022-04-02,40.85
2022-04-03,40.85
2022-04-04,40.85
2022-04-05,40.85
2022-04-06,40.85
2022-04-07,40.85
2022-04-08,40.85
2022-04-09,40.85
2022-04-10,42.2
2022-04-11,42.2
2022-04-12,42.2
2022-04-13,42.2
2022-04-14,42.2
2022-04-15,42.2
2022-04-16,42.2
2022-04-17,42.2
2022-04-18,42.2
2022-04-19,42.2
2022-04-20,42.2
2022-04-21,42.2
2022-04-22,42.2
2022-04-23,42.2
2022-04-24,42.2
2022-04-25,42.2
2022-04-26,42.3
2022-04-27,42.3
2022-04-28,42.3
2022-04-29,42.3
2022-04-30,42.3
2022-05-01,42.3
2022-05-02,42.3
2022-05-03,42.3
2022-05-04,42.3
2022-05-05,42.3
2022-05-06,42.3
2022-05-07,42.3
2022-05-08,42.3
2022-05-09,42.3
2022-05-10,42.3
2022-05-11,42.3
2022-05-12,42.3
2022-05-13,42.3
2022-05-14,42.3
2022-05-15,42.3
2022-05-16,42.3
2022-05-17,42.3
2022-05-18,42.3
2022-05-19,42.3
2022-05-20,42.3
2022-05-21,42.3
2022-05-22,42.3
2022-05-23,42.3
2022-05-24,42.3
2022-05-25,42.3
2022-05-26,42.3
2022-05-27,42.3
2022-05-28,42.3
2022-05-29,42.3
2022-05-30,42.3
2022-05-31,42.3
2022-06-01,42.3
2022-06-02,42.3
2022-06-03,42.3
2022-06-04,42.3
2022-06-05,42.3
2022-06-06,42.3
2022-06-07,42.3
2022-06-08,42.3
2022-06-09,42.3
2022-06-10,42.3
2022-06-11,42.3
2022-06-12,42.3
2022-06-13,42.3
2022-06-14,42.3
2022-06-15,42.3
2022-06-16,42.3
2022-06-17,42.3
2022-06-18,42.3
2022-06-19,42.3
2022-06-20,42.3
2022-06-21,42.3
2022-06-22,42.3
2022-06-23,42.3
2022-06-24,42.3
2022-06-25,42.3
2022-06-26,42.3
2022-06-27,42.3
2022-06-28,42.3
2022-06-29,42.3
2022-06-30,42.3
2022-07-01,42.3
2022-07-02,42.3
2022-07-03,42.3
2022-07-04,42.3
2022-07-05,42.3
2022-07-06,42.3
2022-07-07,42.3
2022-07-08,42.3
2022-07-09,42.3
2022-07-10,42.3
2022-07-11,42.3
2022-07-12,36.9
2022-07-13,36.9
2022-07-14,36.9
2022-07-15,36.9
2022-07-16,36.9
2022-07-17,36.9
2022-07-18,36.9
2022-07-19,36.9
2022-07-20,36.9
2022-07-21,36.9
2022-07-22,36.9
2022-07-23,36.9
2022-07-24,36.9
2022-07-25,36.9
2022-07-26,36.9
2022-07-27,37.7
2022-07-28,37.7
2022-07-29,37.7
2022-07-30,37.7
2022-07-31,37.7
2022-08-01,37.7
2022-08-02,37.7
2022-08-03,37.7
2022-08-04,37.7
2022-08-05,37.7
2022-08-06,37.7
2022-08-07,37.7
2022-08-08,37.7
2022-08-09,37.7
2022-08-10,37.7
2022-08-11,37.7
2022-08-12,37.7
2022-08-13,37.7
2022-08-14,37.7
2022-08-15,37.7
2022-08-16,37.7
2022-08-17,37.7
2022-08-18,37.7
2022-08-19,37.7
2022-08-20,37.7
2022-08-21,37.7
2022-08-22,37.7
2022-08-23,37.7
2022-08-24,37.7
2022-08-25,37.7
2022-08-26,37.7
2022-08-27,37.7
2022-08-28,37.7
2022-08-29,37.7
2022-08-30,37.7
2022-08-31,37.7
2022-09-01,37.7
2022-09-02,37.7
2022-09-03,37.7
2022-09-04,37.7
2022-09-05,37.7
2022-09-06,37.7
2022-09-07,37.7
2022-09-08,37.7
2022-09-09,37.7
2022-09-10,37.7
2022-09-11,37.7
2022-09-12,37.7
2022-09-13,37.7
2022-09-14,37.7
2022-09-15,37.7
2022-09-16,37.7
2022-09-17,37.7
2022-09-18,37.7
2022-09-19,37.7
2022-09-20,37.7
2022-09-21,37.7
2022-09-22,37.7
2022-09-23,37.7
2022-09-24,37.7
2022-09-25,37.7
2022-09-26,37.7
2022-09-27,37.7
2022-09-28,37.7
2022-09-29,37.7
2022-09-30,37.7
2022-10-01,37.7
2022-10-02,37.7
2022-10-03,37.7
2022-10-04,37.7
2022-10-05,37.7
2022-10-06,37.7
2022-10-07,37.7
2022-10-08,37.7
2022-10-09,37.7
2022-10-10,37.7
2022-10-11,37.7
2022-10-12,37.7
2022-10-13,37.7
2022-10-14,37.7
2022-10-15,37.7
2022-10-16,37.7
2022-10-17,37.7
2022-10-18,36.4
2022-10-19,36.4
2022-10-20,36.4
2022-10-21,36.4
2022-10-22,36.4
2022-10-23,36.4
2022-10-24,36.4
2022-10-25,36.4
2022-10-26,36.4
2022-10-27,36.4
2022-10-28,36.4
2022-10-29,36.4
2022-10-30,36.4
2022-10-31,36.4
2022-11-01,36.4
2022-11-02,36.4
2022-11-03,36.4
2022-11-04,36.4
2022-11-05,36.4
2022-11-06,36.4
2022-11-07,36.4
2022-11-08,36.4
2022-11-09,36.4
2022-11-10,36.4
2022-11-11,36.4
2022-11-12,36.4
2022-11-13,36.4
2022-11-14,36.4
2022-11-15,36.4
2022-11-16,36.4
2022-11-17,36.4
2022-11-18,36.4
2022-11-19,36.4
2022-11-20,36.4
2022-11-21,37.9
2022-11-22,37.9
2022-11-23,37.9
2022-11-24,37.9
2022-11-25,37.9
2022-11-26,37.9
2022-11-27,37.9
2022-11-28,37.9
2022-11-29,37.9
2022-11-30,37.9
2022-12-01,37.9
2022-12-02,37.9
2022-12-03,37.9
2022-12-04,37.9
2022-12-05,37.9
2022-12-06,37.9
2022-12-07,37.9
2022-12-08,37.9
2022-12-09,37.9
2022-12-10,37.9
2022-12-11,37.9
2022-12-12,37.9
2022-12-13,37.9
2022-12-14,37.9
2022-12-15,37.9
2022-12-16,37.9
2022-12-17,37.9
2022-12-18,37.9
2022-12-19,37.9
2022-12-20,37.9
2022-12-21,37.9
2022-12-22,37.9
2022-12-23,37.9
2022-12-24,37.9
2022-12-25,37.9
2022-12-26,37.9
2022-12-27,37.9
2022-12-28,37.9
2022-12-29,37.9
2022-12-30,37.9
2022-12-31,37.9
2023-01-01,37.9
2023-01-02,37.9
2023-01-03,36.675
2023-01-04,36.675
2023-01-05,36.675
2023-01-06,36.675
2023-01-07,36.675
2023-01-08,36.675
2023-01-09,36.675
2023-01-10,36.15
2023-01-11,36.15
2023-01-12,36.15
2023-01-13,36.225
2023-01-14,36.225
2023-01-15,36.225
2023-01-16,36.225
2023-01-17,36.225
2023-01-18,36.225
2023-01-19,36.225
2023-01-20,36.225
2023-01-21,36.225
2023-01-22,36.225
2023-01-23,36.225
2023-01-24,36.225
2023-01-25,36.225
2023-01-26,37.313
2023-01-27,36.78
2023-01-28,36.78
2023-01-29,36.78
2023-01-30,36.845
2023-01-31,36.845
2023-02-01,36.912
2023-02-02,36.912
2023-02-03,36.912
2023-02-04,36.912
2023-02-05,36.912
2023-02-06,36.912
2023-02-07,36.912
2023-02-08,36.536
2023-02-09,36.536
2023-02-10,36.536
2023-02-11,36.536
2023-02-12,36.536
2023-02-13,36.536
2023-02-14,36.536
2023-02-15,36.536
2023-02-16,36.536
2023-02-17,36.536
2023-02-18,36.536
2023-02-19,36.536
2023-02-20,36.536
2023-02-21,36.536
2023-02-22,36.536
2023-02-23,36.536
2023-02-24,36.536
2023-02-25,36.536
2023-02-26,36.536
2023-02-27,36.536
2023-02-28,36.536
2023-03-01,36.536
2023-03-02,36.536
2023-03-03,36.536
2023-03-04,36.536
2023-03-05,36.536
2023-03-06,36.536
2023-03-07,36.536
2023-03-08,36.536
2023-03-09,36.536
2023-03-10,36.536
2023-03-11,36.536
2023-03-12,36.536
2023-03-13,36.536
2023-03-14,36.536
2023-03-15,36.536
2023-03-16,36.536
2023-03-17,36.536
2023-03-18,36.536
2023-03-19,36.536
2023-03-20,36.536
2023-03-21,36.536
2023-03-22,36.536
2023-03-23,36.536
2023-03-24,36.536
2023-03-25,36.536
2023-03-26,36.536
2023-03-27,36.536
2023-03-28,35.853
2023-03-29,35.853
2023-03-30,35.853
2023-03-31,35.853
2023-04-01,35.853
2023-04-02,35.853
2023-04-03,35.853
2023-04-04,35.853
2023-04-05,35.853
2023-04-06,35.853
2023-04-07,35.853
2023-04-08,35.853
2023-04-09,35.853
2023-04-10,35.853
2023-04-11,35.853
2023-04-12,35.931
2023-04-13,36.003
2023-04-14,36.003
2023-04-15,36.003
2023-04-16,36.003
2023-04-17,36.003
2023-04-18,36.003
2023-04-19,35.996
2023-04-20,35.996
2023-04-21,35.996
2023-04-22,35.996
2023-04-23,35.996
2023-04-24,35.996
