2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-21,
2020-03-22,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-28,
2020-03-29,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-04,
2020-04-05,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,7.3
2020-08-12,7.3
2020-08-13,7.3
2020-08-14,7.3
2020-08-15,7.3
2020-08-16,7.3
2020-08-17,7.3
2020-08-18,7.3
2020-08-19,7.3
2020-08-20,7.3
2020-08-21,7.3
2020-08-22,7.3
2020-08-23,7.3
2020-08-24,7.3
2020-08-25,7.3
2020-08-26,7.3
2020-08-27,7.3
2020-08-28,7.3
2020-08-29,7.3
2020-08-30,7.3
2020-08-31,7.3
2020-09-01,7.3
2020-09-02,7.3
2020-09-03,7.3
2020-09-04,7.3
2020-09-05,7.3
2020-09-06,7.3
2020-09-07,7.3
2020-09-08,7.3
2020-09-09,7.3
2020-09-10,7.3
2020-09-11,7.3
2020-09-12,7.3
2020-09-13,7.3
2020-09-14,7.3
2020-09-15,7.3
2020-09-16,7.3
2020-09-17,7.3
2020-09-18,7.3
2020-09-19,7.3
2020-09-20,7.3
2020-09-21,7.3
2020-09-22,7.3
2020-09-23,7.3
2020-09-24,7.3
2020-09-25,7.3
2020-09-26,7.3
2020-09-27,7.3
2020-09-28,7.3
2020-09-29,7.3
2020-09-30,7.3
2020-10-01,7.3
2020-10-02,7.3
2020-10-03,7.3
2020-10-04,7.3
2020-10-05,7.3
2020-10-06,7.3
2020-10-07,7.3
2020-10-08,7.3
2020-10-09,7.3
2020-10-10,7.3
2020-10-11,7.3
2020-10-12,7.3
2020-10-13,7.3
2020-10-14,7.3
2020-10-15,7.3
2020-10-16,7.3
2020-10-17,7.3
2020-10-18,7.3
2020-10-19,7.3
2020-10-20,7.3
2020-10-21,7.3
2020-10-22,7.3
2020-10-23,7.35
2020-10-24,7.35
2020-10-25,7.35
2020-10-26,7.35
2020-10-27,7.35
2020-10-28,7.35
2020-10-29,7.35
2020-10-30,7.35
2020-10-31,7.35
2020-11-01,7.35
2020-11-02,7.35
2020-11-03,7.35
2020-11-04,7.35
2020-11-05,7.35
2020-11-06,7.35
2020-11-07,7.35
2020-11-08,7.35
2020-11-09,7.35
2020-11-10,7.35
2020-11-11,7.35
2020-11-12,7.35
2020-11-13,7.35
2020-11-14,7.35
2020-11-15,7.35
2020-11-16,7.35
2020-11-17,7.35
2020-11-18,7.35
2020-11-19,7.35
2020-11-20,7.35
2020-11-21,7.35
2020-11-22,7.35
2020-11-23,7.35
2020-11-24,7.35
2020-11-25,7.35
2020-11-26,7.35
2020-11-27,7.35
2020-11-28,7.35
2020-11-29,7.35
2020-11-30,7.35
2020-12-01,7.35
2020-12-02,7.35
2020-12-03,7.35
2020-12-04,7.35
2020-12-05,7.35
2020-12-06,7.35
2020-12-07,7.35
2020-12-08,7.35
2020-12-09,7.35
2020-12-10,7.35
2020-12-11,7.35
2020-12-12,7.35
2020-12-13,7.35
2020-12-14,7.35
2020-12-15,7.35
2020-12-16,7.35
2020-12-17,7.35
2020-12-18,7.35
2020-12-19,7.35
2020-12-20,7.35
2020-12-21,7.35
2020-12-22,7.35
2020-12-23,7.35
2020-12-24,7.35
2020-12-25,7.35
2020-12-26,7.35
2020-12-27,7.35
2020-12-28,7.35
2020-12-29,7.35
2020-12-30,7.35
2020-12-31,7.35
2021-01-01,7.35
2021-01-02,7.35
2021-01-03,7.35
2021-01-04,7.35
2021-01-05,7.35
2021-01-06,7.35
2021-01-07,7.35
2021-01-08,7.35
2021-01-09,7.35
2021-01-10,7.35
2021-01-11,7.35
2021-01-12,7.35
2021-01-13,7.35
2021-01-14,7.35
2021-01-15,7.35
2021-01-16,7.35
2021-01-17,7.35
2021-01-18,7.35
2021-01-19,7.35
2021-01-20,7.35
2021-01-21,7.35
2021-01-22,7.35
2021-01-23,7.35
2021-01-24,7.35
2021-01-25,7.35
2021-01-26,7.35
2021-01-27,7.35
2021-01-28,7.35
2021-01-29,7.35
2021-01-30,7.35
2021-01-31,7.35
2021-02-01,7.35
2021-02-02,7.35
2021-02-03,7.85
2021-02-04,7.85
2021-02-05,7.85
2021-02-06,7.85
2021-02-07,7.85
2021-02-08,7.85
2021-02-09,7.85
2021-02-10,7.85
2021-02-11,7.85
2021-02-12,7.85
2021-02-13,7.85
2021-02-14,7.85
2021-02-15,7.85
2021-02-16,7.85
2021-02-17,7.85
2021-02-18,7.85
2021-02-19,7.85
2021-02-20,7.85
2021-02-21,7.85
2021-02-22,7.85
2021-02-23,7.85
2021-02-24,7.85
2021-02-25,7.85
2021-02-26,7.85
2021-02-27,7.85
2021-02-28,7.85
2021-03-01,7.85
2021-03-02,7.85
2021-03-03,7.85
2021-03-04,7.85
2021-03-05,7.85
2021-03-06,7.85
2021-03-07,7.85
2021-03-08,7.85
2021-03-09,7.85
2021-03-10,7.85
2021-03-11,7.85
2021-03-12,7.85
2021-03-13,7.85
2021-03-14,7.85
2021-03-15,7.85
2021-03-16,7.85
2021-03-17,7.85
2021-03-18,7.85
2021-03-19,7.85
2021-03-20,7.85
2021-03-21,7.85
2021-03-22,7.85
2021-03-23,7.85
2021-03-24,7.85
2021-03-25,7.85
2021-03-26,7.85
2021-03-27,7.85
2021-03-28,7.85
2021-03-29,7.85
2021-03-30,7.85
2021-03-31,7.85
2021-04-01,7.85
2021-04-02,7.85
2021-04-03,7.85
2021-04-04,7.85
2021-04-05,7.85
2021-04-06,7.85
2021-04-07,7.85
2021-04-08,7.85
2021-04-09,7.85
2021-04-10,7.85
2021-04-11,7.85
2021-04-12,7.85
2021-04-13,7.85
2021-04-14,7.85
2021-04-15,7.85
2021-04-16,7.85
2021-04-17,7.85
2021-04-18,7.85
2021-04-19,7.85
2021-04-20,7.85
2021-04-21,7.85
2021-04-22,7.85
2021-04-23,7.85
2021-04-24,7.85
2021-04-25,7.85
2021-04-26,7.85
2021-04-27,7.85
2021-04-28,7.85
2021-04-29,7.85
2021-04-30,7.85
2021-05-01,7.85
2021-05-02,7.85
2021-05-03,7.85
2021-05-04,8.125
2021-05-05,8.44
2021-05-06,8.44
2021-05-07,8.44
2021-05-08,8.44
2021-05-09,8.44
2021-05-10,8.44
2021-05-11,8.44
2021-05-12,8.44
2021-05-13,8.44
2021-05-14,8.44
2021-05-15,8.44
2021-05-16,8.44
2021-05-17,8.44
2021-05-18,8.44
2021-05-19,8.44
2021-05-20,8.44
2021-05-21,8.44
2021-05-22,8.44
2021-05-23,8.44
2021-05-24,8.44
2021-05-25,8.44
2021-05-26,8.44
2021-05-27,8.44
2021-05-28,8.44
2021-05-29,8.44
2021-05-30,8.44
2021-05-31,8.44
2021-06-01,8.44
2021-06-02,8.44
2021-06-03,8.44
2021-06-04,8.44
2021-06-05,8.44
2021-06-06,8.44
2021-06-07,8.44
2021-06-08,8.44
2021-06-09,8.44
2021-06-10,8.44
2021-06-11,8.44
2021-06-12,8.44
2021-06-13,8.44
2021-06-14,8.44
2021-06-15,8.44
2021-06-16,8.44
2021-06-17,8.44
2021-06-18,8.44
2021-06-19,8.44
2021-06-20,8.44
2021-06-21,8.44
2021-06-22,8.44
2021-06-23,8.44
2021-06-24,8.44
2021-06-25,8.44
2021-06-26,8.44
2021-06-27,8.44
2021-06-28,8.44
2021-06-29,8.44
2021-06-30,8.44
2021-07-01,8.44
2021-07-02,8.44
2021-07-03,8.44
2021-07-04,8.44
2021-07-05,8.44
2021-07-06,8.44
2021-07-07,8.44
2021-07-08,8.44
2021-07-09,8.44
2021-07-10,8.44
2021-07-11,8.44
2021-07-12,8.44
2021-07-13,8.44
2021-07-14,8.44
2021-07-15,8.44
2021-07-16,8.44
2021-07-17,8.44
2021-07-18,8.44
2021-07-19,8.44
2021-07-20,8.44
2021-07-21,8.44
2021-07-22,8.44
2021-07-23,8.44
2021-07-24,8.44
2021-07-25,8.44
2021-07-26,8.44
2021-07-27,8.44
2021-07-28,8.44
2021-07-29,8.44
2021-07-30,8.44
2021-07-31,8.44
2021-08-01,8.44
2021-08-02,8.44
2021-08-03,8.44
2021-08-04,8.44
2021-08-05,8.44
2021-08-06,8.44
2021-08-07,8.44
2021-08-08,8.44
2021-08-09,8.44
2021-08-10,8.44
2021-08-11,8.44
2021-08-12,8.415
2021-08-13,8.415
2021-08-14,7.85
2021-08-15,7.85
2021-08-16,7.85
2021-08-17,7.85
2021-08-18,7.85
2021-08-19,7.85
2021-08-20,7.85
2021-08-21,7.85
2021-08-22,7.85
2021-08-23,7.85
2021-08-24,7.85
2021-08-25,7.85
2021-08-26,7.85
2021-08-27,7.85
2021-08-28,7.85
2021-08-29,7.85
2021-08-30,7.85
2021-08-31,7.85
2021-09-01,7.85
2021-09-02,7.85
2021-09-03,7.85
2021-09-04,7.85
2021-09-05,7.85
2021-09-06,7.85
2021-09-07,7.85
2021-09-08,7.85
2021-09-09,7.85
2021-09-10,7.85
2021-09-11,7.85
2021-09-12,7.85
2021-09-13,7.85
2021-09-14,7.85
2021-09-15,7.85
2021-09-16,7.85
2021-09-17,7.85
2021-09-18,7.85
2021-09-19,7.85
2021-09-20,7.85
2021-09-21,7.85
2021-09-22,7.85
2021-09-23,7.85
2021-09-24,7.85
2021-09-25,7.85
2021-09-26,7.85
2021-09-27,7.85
2021-09-28,7.85
2021-09-29,7.85
2021-09-30,7.85
2021-10-01,7.85
2021-10-02,7.85
2021-10-03,7.85
2021-10-04,7.85
2021-10-05,7.85
2021-10-06,7.85
2021-10-07,7.85
2021-10-08,7.85
2021-10-09,7.85
2021-10-10,7.85
2021-10-11,7.85
2021-10-12,7.85
2021-10-13,7.85
2021-10-14,7.85
2021-10-15,7.85
2021-10-16,7.85
2021-10-17,7.85
2021-10-18,7.85
2021-10-19,7.85
2021-10-20,7.85
2021-10-21,7.85
2021-10-22,7.85
2021-10-23,7.85
2021-10-24,7.85
2021-10-25,7.85
2021-10-26,7.85
2021-10-27,7.85
2021-10-28,7.85
2021-10-29,7.85
2021-10-30,7.85
2021-10-31,7.85
2021-11-01,7.85
2021-11-02,7.85
2021-11-03,7.85
2021-11-04,7.85
2021-11-05,7.85
2021-11-06,7.85
2021-11-07,7.85
2021-11-08,7.85
2021-11-09,7.85
2021-11-10,7.85
2021-11-11,7.85
2021-11-12,7.85
2021-11-13,7.85
2021-11-14,7.85
2021-11-15,7.85
2021-11-16,7.85
2021-11-17,7.85
2021-11-18,7.85
2021-11-19,7.85
2021-11-20,7.85
2021-11-21,7.85
2021-11-22,7.85
2021-11-23,7.85
2021-11-24,7.85
2021-11-25,7.85
2021-11-26,7.85
2021-11-27,7.85
2021-11-28,7.85
2021-11-29,7.85
2021-11-30,7.85
2021-12-01,7.85
2021-12-02,7.85
2021-12-03,7.85
2021-12-04,7.85
2021-12-05,7.85
2021-12-06,7.85
2021-12-07,7.85
2021-12-08,7.85
2021-12-09,7.85
2021-12-10,7.85
2021-12-11,7.85
2021-12-12,7.85
2021-12-13,7.85
2021-12-14,7.85
2021-12-15,7.85
2021-12-16,7.85
2021-12-17,7.85
2021-12-18,7.85
2021-12-19,7.85
2021-12-20,7.85
2021-12-21,7.85
2021-12-22,7.85
2021-12-23,7.85
2021-12-24,7.85
2021-12-25,7.85
2021-12-26,7.85
2021-12-27,7.85
2021-12-28,7.85
2021-12-29,7.85
2021-12-30,7.85
2021-12-31,7.85
2022-01-01,7.85
2022-01-02,7.85
2022-01-03,7.85
2022-01-04,7.85
2022-01-05,7.85
2022-01-06,7.85
2022-01-07,7.85
2022-01-08,7.85
2022-01-09,7.85
2022-01-10,7.85
2022-01-11,7.85
2022-01-12,7.85
2022-01-13,7.85
2022-01-14,7.85
2022-01-15,7.85
2022-01-16,7.85
2022-01-17,7.85
2022-01-18,7.85
2022-01-19,7.85
2022-01-20,7.85
2022-01-21,7.85
2022-01-22,7.85
2022-01-23,7.85
2022-01-24,7.85
2022-01-25,7.85
2022-01-26,7.85
2022-01-27,7.85
2022-01-28,8.45
2022-01-29,8.45
2022-01-30,8.45
2022-01-31,8.45
2022-02-01,8.45
2022-02-02,8.45
2022-02-03,8.45
2022-02-04,8.45
2022-02-05,8.45
2022-02-06,8.45
2022-02-07,8.45
2022-02-08,8.45
2022-02-09,8.45
2022-02-10,8.45
2022-02-11,8.45
2022-02-12,8.45
2022-02-13,8.45
2022-02-14,8.45
2022-02-15,8.45
2022-02-16,8.45
2022-02-17,8.45
2022-02-18,8.45
2022-02-19,8.45
2022-02-20,8.45
2022-02-21,8.45
2022-02-22,8.45
2022-02-23,8.45
2022-02-24,8.45
2022-02-25,8.45
2022-02-26,8.45
2022-02-27,8.45
2022-02-28,8.45
2022-03-01,8.45
2022-03-02,8.45
2022-03-03,8.45
2022-03-04,8.45
2022-03-05,8.45
2022-03-06,8.45
2022-03-07,8.45
2022-03-08,8.45
2022-03-09,8.45
2022-03-10,8.45
2022-03-11,8.45
2022-03-12,8.45
2022-03-13,8.45
2022-03-14,8.45
2022-03-15,8.45
2022-03-16,8.45
2022-03-17,8.45
2022-03-18,8.45
2022-03-19,8.45
2022-03-20,8.45
2022-03-21,8.45
2022-03-22,8.45
2022-03-23,8.45
2022-03-24,8.45
2022-03-25,8.45
2022-03-26,8.45
2022-03-27,8.45
2022-03-28,8.45
2022-03-29,8.45
2022-03-30,8.45
2022-03-31,8.45
2022-04-01,8.45
2022-04-02,8.45
2022-04-03,8.45
2022-04-04,8.45
2022-04-05,8.45
2022-04-06,8.45
2022-04-07,8.45
2022-04-08,8.45
2022-04-09,8.45
2022-04-10,8.45
2022-04-11,8.45
2022-04-12,8.45
2022-04-13,8.45
2022-04-14,8.45
2022-04-15,8.45
2022-04-16,8.45
2022-04-17,8.45
2022-04-18,8.45
2022-04-19,8.45
2022-04-20,8.45
2022-04-21,8.45
2022-04-22,8.45
2022-04-23,8.45
2022-04-24,8.45
2022-04-25,8.45
2022-04-26,8.45
2022-04-27,8.45
2022-04-28,8.45
2022-04-29,8.45
2022-04-30,8.45
2022-05-01,8.45
2022-05-02,8.45
2022-05-03,8.05
2022-05-04,8.05
2022-05-05,8.05
2022-05-06,8.05
2022-05-07,8.05
2022-05-08,8.05
2022-05-09,8.05
2022-05-10,8.05
2022-05-11,8.05
2022-05-12,8.05
2022-05-13,8.05
2022-05-14,8.05
2022-05-15,8.05
2022-05-16,8.05
2022-05-17,8.05
2022-05-18,8.05
2022-05-19,8.05
2022-05-20,8.05
2022-05-21,8.05
2022-05-22,8.05
2022-05-23,8.05
2022-05-24,8.05
2022-05-25,8.05
2022-05-26,8.05
2022-05-27,8.05
2022-05-28,8.05
2022-05-29,8.05
2022-05-30,8.05
2022-05-31,8.05
2022-06-01,8.52
2022-06-02,8.52
2022-06-03,8.52
2022-06-04,8.52
2022-06-05,8.52
2022-06-06,8.52
2022-06-07,8.52
2022-06-08,8.52
2022-06-09,8.52
2022-06-10,8.52
2022-06-11,8.52
2022-06-12,8.52
2022-06-13,8.52
2022-06-14,8.52
2022-06-15,8.52
2022-06-16,8.52
2022-06-17,8.52
2022-06-18,8.52
2022-06-19,8.52
2022-06-20,8.52
2022-06-21,8.52
2022-06-22,8.52
2022-06-23,8.52
2022-06-24,8.52
2022-06-25,8.52
2022-06-26,8.52
2022-06-27,8.52
2022-06-28,8.52
2022-06-29,8.52
2022-06-30,8.52
2022-07-01,8.52
2022-07-02,8.52
2022-07-03,8.52
2022-07-04,8.52
2022-07-05,8.52
2022-07-06,8.52
2022-07-07,8.52
2022-07-08,8.52
2022-07-09,8.52
2022-07-10,8.52
2022-07-11,8.52
2022-07-12,8.52
2022-07-13,8.52
2022-07-14,8.52
2022-07-15,8.52
2022-07-16,8.52
2022-07-17,8.52
2022-07-18,8.52
2022-07-19,8.52
2022-07-20,8.52
2022-07-21,8.52
2022-07-22,8.52
2022-07-23,8.52
2022-07-24,8.52
2022-07-25,8.52
2022-07-26,8.52
2022-07-27,8.52
2022-07-28,8.52
2022-07-29,8.52
2022-07-30,8.52
2022-07-31,8.52
2022-08-01,8.52
2022-08-02,8.52
2022-08-03,8.52
2022-08-04,8.52
2022-08-05,8.52
2022-08-06,8.52
2022-08-07,8.52
2022-08-08,8.52
2022-08-09,8.52
2022-08-10,8.52
2022-08-11,8.52
2022-08-12,8.595
2022-08-13,8.595
2022-08-14,8.52
2022-08-15,8.52
2022-08-16,8.52
2022-08-17,8.453
2022-08-18,8.453
2022-08-19,8.453
2022-08-20,8.453
2022-08-21,8.453
2022-08-22,8.453
2022-08-23,8.453
2022-08-24,8.413
2022-08-25,8.413
2022-08-26,8.413
2022-08-27,8.413
2022-08-28,8.413
2022-08-29,8.413
2022-08-30,8.413
2022-08-31,8.413
2022-09-01,8.413
2022-09-02,8.413
2022-09-03,8.413
2022-09-04,8.413
2022-09-05,8.413
2022-09-06,8.413
2022-09-07,8.413
2022-09-08,8.413
2022-09-09,8.413
2022-09-10,8.413
2022-09-11,8.413
2022-09-12,8.413
2022-09-13,8.413
2022-09-14,8.413
2022-09-15,8.413
2022-09-16,8.413
2022-09-17,8.413
2022-09-18,8.413
2022-09-19,8.413
2022-09-20,8.413
2022-09-21,8.413
2022-09-22,8.413
2022-09-23,8.413
2022-09-24,8.413
2022-09-25,8.413
2022-09-26,8.413
2022-09-27,8.413
2022-09-28,8.413
2022-09-29,8.413
2022-09-30,8.413
2022-10-01,8.413
2022-10-02,8.413
2022-10-03,8.413
2022-10-04,8.413
2022-10-05,8.413
2022-10-06,8.413
2022-10-07,8.413
2022-10-08,8.413
2022-10-09,8.413
2022-10-10,8.413
2022-10-11,8.413
2022-10-12,8.413
2022-10-13,8.413
2022-10-14,8.413
2022-10-15,8.413
2022-10-16,8.413
2022-10-17,8.413
2022-10-18,8.413
2022-10-19,8.413
2022-10-20,8.413
2022-10-21,8.296
2022-10-22,8.296
2022-10-23,8.296
2022-10-24,8.296
2022-10-25,8.296
2022-10-26,8.296
2022-10-27,8.296
2022-10-28,8.278
2022-10-29,8.278
2022-10-30,8.278
2022-10-31,8.278
2022-11-01,8.278
2022-11-02,8.288
2022-11-03,8.29
2022-11-04,8.29
2022-11-05,8.29
2022-11-06,8.29
2022-11-07,8.29
2022-11-08,8.29
2022-11-09,8.29
2022-11-10,8.29
2022-11-11,8.29
2022-11-12,8.29
2022-11-13,8.29
2022-11-14,8.29
2022-11-15,8.398
2022-11-16,8.398
2022-11-17,8.398
2022-11-18,8.398
2022-11-19,8.398
2022-11-20,8.398
2022-11-21,8.398
2022-11-22,8.398
2022-11-23,8.398
2022-11-24,8.398
2022-11-25,8.398
2022-11-26,8.398
2022-11-27,8.398
2022-11-28,8.398
2022-11-29,8.398
2022-11-30,8.398
