,CUROQ US Equity
,RETURN_COM_EQY
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-08,
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-21,
2020-03-22,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-28,
2020-03-29,
2020-03-30,
2020-03-31,229.9642
2020-04-01,229.9642
2020-04-02,229.9642
2020-04-03,229.9642
2020-04-04,229.9642
2020-04-05,229.9642
2020-04-06,229.9642
2020-04-07,229.9642
2020-04-08,229.9642
2020-04-09,229.9642
2020-04-10,229.9642
2020-04-11,229.9642
2020-04-12,229.9642
2020-04-13,229.9642
2020-04-14,229.9642
2020-04-15,229.9642
2020-04-16,229.9642
2020-04-17,229.9642
2020-04-18,229.9642
2020-04-19,229.9642
2020-04-20,229.9642
2020-04-21,229.9642
2020-04-22,229.9642
2020-04-23,229.9642
2020-04-24,229.9642
2020-04-25,229.9642
2020-04-26,229.9642
2020-04-27,229.9642
2020-04-28,229.9642
2020-04-29,229.9642
2020-04-30,229.9642
2020-05-01,229.9642
2020-05-02,229.9642
2020-05-03,229.9642
2020-05-04,229.9642
2020-05-05,229.9642
2020-05-06,229.9642
2020-05-07,229.9642
2020-05-08,229.9642
2020-05-09,229.9642
2020-05-10,229.9642
2020-05-11,229.9642
2020-05-12,229.9642
2020-05-13,229.9642
2020-05-14,229.9642
2020-05-15,229.9642
2020-05-16,229.9642
2020-05-17,229.9642
2020-05-18,229.9642
2020-05-19,229.9642
2020-05-20,229.9642
2020-05-21,229.9642
2020-05-22,229.9642
2020-05-23,229.9642
2020-05-24,229.9642
2020-05-25,229.9642
2020-05-26,229.9642
2020-05-27,229.9642
2020-05-28,229.9642
2020-05-29,229.9642
2020-05-30,229.9642
2020-05-31,229.9642
2020-06-01,229.9642
2020-06-02,229.9642
2020-06-03,229.9642
2020-06-04,229.9642
2020-06-05,229.9642
2020-06-06,229.9642
2020-06-07,229.9642
2020-06-08,229.9642
2020-06-09,229.9642
2020-06-10,229.9642
2020-06-11,229.9642
2020-06-12,229.9642
2020-06-13,229.9642
2020-06-14,229.9642
2020-06-15,229.9642
2020-06-16,229.9642
2020-06-17,229.9642
2020-06-18,229.9642
2020-06-19,229.9642
2020-06-20,229.9642
2020-06-21,229.9642
2020-06-22,229.9642
2020-06-23,229.9642
2020-06-24,229.9642
2020-06-25,229.9642
2020-06-26,229.9642
2020-06-27,229.9642
2020-06-28,229.9642
2020-06-29,229.9642
2020-06-30,154.3175
2020-07-01,154.3175
2020-07-02,154.3175
2020-07-03,154.3175
2020-07-04,154.3175
2020-07-05,154.3175
2020-07-06,154.3175
2020-07-07,154.3175
2020-07-08,154.3175
2020-07-09,154.3175
2020-07-10,154.3175
2020-07-11,154.3175
2020-07-12,154.3175
2020-07-13,154.3175
2020-07-14,154.3175
2020-07-15,154.3175
2020-07-16,154.3175
2020-07-17,154.3175
2020-07-18,154.3175
2020-07-19,154.3175
2020-07-20,154.3175
2020-07-21,154.3175
2020-07-22,154.3175
2020-07-23,154.3175
2020-07-24,154.3175
2020-07-25,154.3175
2020-07-26,154.3175
2020-07-27,154.3175
2020-07-28,154.3175
2020-07-29,154.3175
2020-07-30,154.3175
2020-07-31,154.3175
2020-08-01,154.3175
2020-08-02,154.3175
2020-08-03,154.3175
2020-08-04,154.3175
2020-08-05,154.3175
2020-08-06,154.3175
2020-08-07,154.3175
2020-08-08,154.3175
2020-08-09,154.3175
2020-08-10,154.3175
2020-08-11,154.3175
2020-08-12,154.3175
2020-08-13,154.3175
2020-08-14,154.3175
2020-08-15,154.3175
